URUN_REFNO|ADI|KATEGORI_REFNO|ALT_KATEGORI_REFNO|TEDARIKCI_REFNO|KDVSIZ_SATIS_FIYATI|KDVSIZ_ALIS_FIYATI|SATIS_KDV_ORANI|ALIS_KDV_ORANI|BARKODU|BIRIM1|BIRIM2|
221|RICOH CAPLIO RR-230|1|1|2|175,45|0,0000|0|0|8692212121|ADET||
222|MINTON MDC-1500 5MP 16MB 4XD KIR GOZ|1|1|2|141,57|0,0000|0|0|8692212121|ADET||
223|MUSTEK MDC 5500Z|1|1|2|211,75|0,0000|0|0|8692212121|ADET||
224|JAGUAR IC-300|1|1|2|15,73|0,0000|0|0|8692212121|ADET||
225|SAMSUNG 52X SIYAH CD-ROM|1|1|2|19,36|0,0000|0|0|8692212121|ADET||
226|SAMSUNG 52X24X52 CD DVD COMBO BEYAZ|1|1|2|52,03|0,0000|0|0|8692212121|ADET||
227|SAMSUNG COMBO SIYAH 52X24X52X 16X|1|1|2|54,45|0,0000|0|0|8692212121|ADET||
228|ASUS 52X32X52 BOX|1|1|2|33,88|0,0000|0|0|8692212121|ADET||
229|INTEL LGA775 2.8 1MB 800MHZ BOX|1|1|2|203,28|0,0000|0|0|8692212121|ADET||
230|INTEL LGA775 3.0 1MB 800MHZ BOX|1|1|2|222,64|0,0000|0|0|8692212121|ADET||
231|INTEL LGA775 3.2 1MB 800 MHZ BOX|1|1|2|272,25|0,0000|0|0|8692212121|ADET||
232|SAMSUNG COMBO 52X42X52X 16X DVD|1|1|2|48,4|0,0000|0|0|8692212121|ADET||
233|SAMSUNG SIYAH COMBO 52X24X52X 16X DVD|1|1|2|50,82|0,0000|0|0|8692212121|ADET||
234|SAMSUNG 16X DVD|1|1|2|30,25|0,0000|0|0|8692212121|ADET||
235|ASUS DRW-1604P|1|1|2|98,01|0,0000|0|0|8692212121|ADET||
236|MSI 8952 128MB ATI RX9200SE|1|1|2|53,24|0,0000|0|0|8692212121|ADET||
237|MSI 8969 128MB PCX5750 PCI EXPRES|1|1|2|166,98|0,0000|0|0|8692212121|ADET||
238|SAPPHIRE 256MB ATLANTIS RADEON 9600TX|1|1|2|135,52|0,0000|0|0|8692212121|ADET||
239|SOCKET CPU FAN|1|1|2|2,42|0,0000|0|0|8692212121|ADET||
240|P-4 INTEL ORJINAL FAN|1|1|2|7,26|0,0000|0|0|8692212121|ADET||
241|AMD COOLER MASTER CP5 6J31C|1|1|2|7,26|0,0000|0|0|8692212121|ADET||
242|INTEL P3 FAN|1|1|2|2,42|0,0000|0|0|8692212121|ADET||
243|MAXTOR 160GB 7200|1|1|2|107,085|0,0000|0|0|8692212121|ADET||
244|MAXTOR 160GB 7200RPM 8MB|1|1|2|113,432|0,0000|0|0|8692212121|ADET||
245|MAXTOR 160GB 7200 8MB SATA|1|1|2|123,42|0,0000|0|0|8692212121|ADET||
